CO2 per mi,CO2 per mi per seat,First flight,Fuel burn,Fuel per seat,Max Range,Model,Seats,Sector,Score
14.585695508733599,0.208367078696194,1997,1.42 kg/km (5.0 lb/mi),2.53 L/100 km (93 mpg‑US)[36],300,ATR 72-500,70,,8.614782568054432
30.004859332251897,0.208367078696194,2017,2.91 kg/km (10.3 lb/mi),2.53 L/100 km (93 mpg‑US)[65],3400,Boeing 737 MAX-9,144,"3,400 nmi (6,300 km)",8.614782568054432
26.3289922809049,0.210631938247239,2013,2.57 kg/km (9.1 lb/mi),2.57 L/100 km (92 mpg‑US)[53],684,Airbus A220-100,125,500 nmi (930 km),8.55895470081525
56.6599913885073,0.210631938247239,1988,5.51 kg/km (19.5 lb/mi),2.56 L/100 km (92 mpg‑US)[70],3400,Boeing 767-300ER,269,"3,000 nmi (5,600 km)",8.55895470081525
42.68312405010129,0.213415620250507,1982,4.16 kg/km (14.76 lb/mi),2.59 L/100 km (90.8 mpg‑US)[51],1000,Boeing 757-200,200,,8.490338071036668
32.29689719791,0.215312647986067,1987,3.13 kg/km (11.1 lb/mi),2.61 L/100 km (90 mpg‑US)[60],1000,Airbus A320,150,,8.443577108520904
101.680793200611,0.217731891221865,2011,9.9 kg/km (35 lb/mi),2.65 L/100 km (89 mpg‑US)[69],3400,Boeing 747-8,467,"3,000 nmi (5,600 km)",8.383943746211482
53.2679594056027,0.219209709488077,1998,5.19 kg/km (18.41 lb/mi),2.66 L/100 km (88.4 mpg‑US)[51],684,Boeing 757-300,243,500 nmi (930 km),8.34751612670119
39.6371011065259,0.220206117258477,2006,3.83 kg/km (13.6 lb/mi),2.66 L/100 km (88 mpg‑US)[50],684,Boeing 737-900ER,180,500 nmi (930 km),8.322955080213202
35.2329787613564,0.220206117258477,1997,3.45 kg/km (12.23 lb/mi),2.68 L/100 km (88 mpg‑US)[60],1000,Boeing 737-800,160,,8.322955080213202
81.0358511511197,0.220206117258477,1997,7.88 kg/km (28.0 lb/mi),2.68 L/100 km (88 mpg‑US)[71],3400,Boeing 777-300,368,"3,000 nmi (5,600 km)",8.322955080213202
52.409055907517605,0.220206117258477,2009,5.11 kg/km (18.1 lb/mi),2.68 L/100 km (88 mpg‑US)[65],3400,Boeing 787-8,238,"3,400 nmi (6,300 km)",8.322955080213202
17.373503320255,0.222737222054552,2019,1.69 kg/km (6.0 lb/mi),2.71 L/100 km (87 mpg‑US)[46],300,Xian MA700,78,,8.260564375916095
28.5103644229826,0.222737222054552,1997,2.8 kg/km (9.9 lb/mi),2.71 L/100 km (87 mpg‑US)[60],1000,Boeing 737-700,128,,8.260564375916095
50.4732905046408,0.225327189752861,1984,4.93 kg/km (17.5 lb/mi),2.75 L/100 km (86 mpg‑US)[70],3400,Boeing 767-200ER,224,"3,000 nmi (5,600 km)",8.196722725007433
55.881143058709405,0.225327189752861,2017,5.45 kg/km (19.3 lb/mi),2.75 L/100 km (86 mpg‑US)[74],7200,Airbus A330neo-800,248,"4,650 nmi (8,610 km)",8.196722725007433
31.6932168764538,0.226380120546098,2015,3.10 kg/km (11.01 lb/mi),2.75 L/100 km (85.6 mpg‑US)[47],684,Airbus A220 300,140,"600 nmi (1,100 km)",8.170768408983838
36.9324518545512,0.2279780978676,1997,3.59 kg/km (12.7 lb/mi),2.77 L/100 km (85 mpg‑US)[50],684,Boeing 737-800,162,500 nmi (930 km),8.131378917606822
55.3986777818268,0.2279780978676,2011,5.38 kg/km (19.1 lb/mi),2.77 L/100 km (85 mpg‑US)[74],7200,Boeing 787-8,243,"4,650 nmi (8,610 km)",8.131378917606822
29.2500201037676,0.228515782060684,2017,2.85 kg/km (10.1 lb/mi),2.77 L/100 km (84.8 mpg‑US)[48],684,Boeing 737 MAX 7,128,"660 nmi (1,220 km)",8.118125220822733
18.9167540730616,0.230692122842214,1998,1.83 kg/km (6.5 lb/mi),2.79 L/100 km (84 mpg‑US)[55],684,Bombardier Dash 8 Q400,82,"600 nmi (1,100 km)",8.0644793052681
29.067207478119002,0.230692122842214,1997,2.82 kg/km (10.0 lb/mi),2.79 L/100 km (84 mpg‑US)[50],1000,Boeing 737-700,126,,8.0644793052681
70.3610974668754,0.230692122842214,1994,6.83 kg/km (24.2 lb/mi),2.80 L/100 km (84 mpg‑US)[71],3400,Boeing 777-200,305,"3,000 nmi (5,600 km)",8.0644793052681
72.6680186952975,0.230692122842214,2013,7.07 kg/km (25.1 lb/mi),2.81 L/100 km (84 mpg‑US)[75],7200,Airbus A350-900,315,"6,542 nmi (12,116 km)",8.0644793052681
28.7771155871198,0.232073512799353,2015,2.82 kg/km (10 lb/mi),2.82 L/100 km (83.5 mpg‑US)[48],684,Airbus A319neo,124,"660 nmi (1,220 km)",8.030428604377125
109.031211986197,0.23347154600898803,2011,10.54 kg/km (37.4 lb/mi),2.82 L/100 km (83 mpg‑US)[69],7200,Boeing 747-8,467,"6,000 nmi (11,000 km)",7.995967654077821
31.579188371289803,0.239236275540074,2019,3.07 kg/km (10.91 lb/mi),2.90 L/100 km (81 mpg‑US)[47],684,Embraer E-Jet E2-195,132,"600 nmi (1,100 km)",7.853869414572082
72.0101189375623,0.239236275540074,1996,6.96 kg/km (24.7 lb/mi),2.89 L/100 km (81 mpg‑US)[66],3400,Boeing 777-200ER,301,"3,000 nmi (5,600 km)",7.853869414572082
87.321240572127,0.239236275540074,2003,8.49 kg/km (30.1 lb/mi),2.91 L/100 km (81 mpg‑US)[71],7200,Boeing 777-300ER,365,"6,000 nmi (11,000 km)",7.853869414572082
48.0251259448476,0.240125629724238,1982,4.68 kg/km (16.61 lb/mi),2.91 L/100 km (80.7 mpg‑US)[51],684,Boeing 757-200,200,500 nmi (930 km),7.831947195466173
