CO2 per mi,CO2 per mi per seat,First flight,Fuel burn,Fuel per seat,Max Range,Model,Seats,Sector
25.119808931707784,0.3588544133101112,1999,2.45 kg/km (8.68 lb/mi),4.36 L/100 km (54 mpg‑US)[38],684,Bombardier CRJ700,70,"574 nmi (1,063 km)"
28.564089984081214,0.3245919316372865,2001,2.78 kg/km (9.88 lb/mi),3.94 L/100 km (59.7 mpg‑US)[38],684,Bombardier CRJ900,88,"573 nmi (1,061 km)"
27.293152561614093,0.2729315256161409,2009,2.66 kg/km (9.4 lb/mi),3.33 L/100 km (71 mpg‑US)[52],684,Bombardier CRJ1000,100,500 nmi (930 km)
29.054575054182404,0.2526484787320209,2013,2.8 kg/km (10.1 lb/mi),3.07 L/100 km (76.7 mpg‑US)[47],684,Airbus A220 100,115,"600 nmi (1,100 km)"
31.693216876453754,0.22638012054609824,2015,3.10 kg/km (11.01 lb/mi),2.75 L/100 km (85.6 mpg‑US)[47],684,Airbus A220 300,140,"600 nmi (1,100 km)"
26.3289922809049,0.2106319382472392,2013,2.57 kg/km (9.1 lb/mi),2.57 L/100 km (92 mpg‑US)[53],684,Airbus A220-100,125,500 nmi (930 km)
29.528591723803437,0.1845536982737715,2015,2.85 kg/km (10.11 lb/mi),2.23 L/100 km (105 mpg‑US)[54],684,Airbus A220-300,160,500 nmi (930 km)
18.916754073061576,0.23069212284221435,1998,1.83 kg/km (6.5 lb/mi),2.79 L/100 km (84 mpg‑US)[55],684,Bombardier Dash 8 Q400,82,"600 nmi (1,100 km)"
11.103923990408985,0.35819109646480596,1991,1.08 kg/km (3.8 lb/mi),4.35 L/100 km (54.1 mpg‑US)[56],684,Dornier 328,31,"600 nmi (1,100 km)"
24.967440293552688,0.2837209124267351,2020,2.44 kg/km (8.64 lb/mi),3.44 L/100 km (68.3 mpg‑US)[47],684,Embraer E-Jet E2-175,88,"600 nmi (1,100 km)"
29.01246697439374,0.27370251862635603,2018,2.83 kg/km (10.04 lb/mi),3.32 L/100 km (70.8 mpg‑US)[47],684,Embraer E-Jet E2-190,106,"600 nmi (1,100 km)"
31.57918837128978,0.2392362755400741,2019,3.07 kg/km (10.91 lb/mi),2.90 L/100 km (81 mpg‑US)[47],684,Embraer E-Jet E2-195,132,"600 nmi (1,100 km)"
26.86743614384195,0.33584295179802437,2002,2.6 kg/km (9.3 lb/mi),4.08 L/100 km (57.7 mpg‑US)[57],684,Embraer E-Jet-170,80,"606 nmi (1,122 km)"
28.75676512731279,0.3267814219012817,2005,2.80 kg/km (9.95 lb/mi),3.97 L/100 km (59.3 mpg‑US)[57],684,Embraer E-Jet-175,88,"605 nmi (1,120 km)"
33.21966568927886,0.2914005762217444,2004,3.24 kg/km (11.48 lb/mi),3.54 L/100 km (66.5 mpg‑US)[57],684,Embraer E-Jet-190,114,"607 nmi (1,124 km)"
